"RELAÇÃO DAS ESCOLAS ESTADUAIS (ESTABELECIMENTOS DE ENSINO), ENDEREÇO E E-MAIL",,,,,,,,3569
Municipio,UREGI,SRE,ESTABELECIMENTO DE ENSINO,E-MAIL (INSTITUCIONAL),SITUAÇÃO MAPA (X -> ENVIADO & VAZIO -> NÃO ENVIADO),DATA DE ACUSAÇÃO DE RECEBIMENTO,DATA DE ENVIO DO MAPA PARA AS ESCOLAS,2662
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,CESEC DE BURITIZEIRO,escola.346322@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE BENEDITA CONCEIÇÃO ROQUETTE,escola.79707@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE CACHOEIRA DO MANTEIGA,escola.79758@educacao.mg.gov.br,,,,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE DE ENSINO FUNDAMENTAL E MÉDIO,escola.346233@educacao.mg.gov.br,,,,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE PREFEITO JOSÉ MARIA PEREIRA,escola.246131@educacao.mg.gov.br,,25/05/2022,25/05/2022,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE PROFESSORA ELISA TEIXEIRA DE CARVALHO,escola.79693@educacao.mg.gov.br,,,,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE PROFESSORA MARIETA AMORIM VIEIRA,escola.79715@educacao.mg.gov.br,,,,
BURITIZEIRO,MONTES CLAROS,SRE PIRAPORA,EE PROFESSORA SÍLVIA ALENCAR ZSCHABER,escola.246140@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
CABECEIRA GRANDE,UNAÍ,SRE UNAÍ,EE DEPUTADO EDUARDO LUCAS,escola.109100@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
CABECEIRA GRANDE,UNAÍ,SRE UNAÍ,EE JUVENAL DIOGO PIRES,escola.322598@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
CABO VERDE,GUAXUPÉ,SRE POÇOS DE CALDAS,EE MAJOR LEONEL,escola.124095@educacao.mg.gov.br,x,,,
CABO VERDE,GUAXUPÉ,SRE POÇOS DE CALDAS,EE PROFESSOR PEDRO SATURNINO DE MAGALHÃES,escola.124079@educacao.mg.gov.br,x,,,
CACHOEIRA DA PRATA,SETE LAGOAS,SRE SETE LAGOAS,EE MARIA ANÁLIA MENDES FERREIRA,escola.267805@educacao.mg.gov.br,x,27/05/2022,,
CACHOEIRA DE MINAS,POUSO ALEGRE,SRE POUSO ALEGRE,EE CÔNEGO JOSÉ EUGÊNIO DE FARIA,escola.54607@educacao.mg.gov.br,x,25/05/2022,09/05/2022,
CACHOEIRA DE MINAS,POUSO ALEGRE,SRE POUSO ALEGRE,EE PROFESSOR FURTADO DE MENDONÇA,escola.54615@educacao.mg.gov.br,x,25/05/2022,09/05/2022,
CACHOEIRA DE MINAS,POUSO ALEGRE,SRE POUSO ALEGRE,EE SENADOR BUENO DE PAIVA,escola.54593@educacao.mg.gov.br,x,24/05/2022,09/05/2022,
CACHOEIRA DE PAJEÚ,ALMENARA,SRE ALMENARA,EE BARÃO DO RIO BRANCO,escola.184616@educacao.mg.gov.br,X,08/06/2022,24/05/2022,
CACHOEIRA DE PAJEÚ,ALMENARA,SRE ALMENARA,EE DO CARIRI,escola.246328@educacao.mg.gov.br,X,08/06/2022,24/05/2022,
CACHOEIRA DE PAJEÚ,ALMENARA,SRE ALMENARA,EE DO POVOADO DE ÁGUAS ALTAS,escola.205613@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
CACHOEIRA DOURADA,UBERLÂNDIA,SRE ITUIUTABA,EE JOÃO GONÇALVES DE OLIVEIRA,escola.322814@educacao.mg.gov.br,x,,,
CAETANÓPOLIS,CURVELO,SRE SETE LAGOAS,EE PROFESSORA DORA SILVA,escola.140465@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE CARLINDO CAETANO PINTO,escola.8427@educacao.mg.gov.br,x,23/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE FRANCISCO DE PAULA CASTRO,escola.8419@educacao.mg.gov.br,x,20/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE JOSÉ BRANDÃO,escola.8338@educacao.mg.gov.br,x,23/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE JOSÉ PEREIRA CANÇADO,escola.8486@educacao.mg.gov.br,,24/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE PAULO PINHEIRO DA SILVA,escola.8354@educacao.mg.gov.br,x,26/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE PRESIDENTE TANCREDO NEVES,escola.8401@educacao.mg.gov.br,x,20/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE SEBASTIÃO RIBEIRO DE BRITO,escola.8362@educacao.mg.gov.br,x,23/05/2022,17/05/2022,
CAETÉ,BELO HORIZONTE,SRE METROPOLITANA A,EE SENHORA DO BONSUCESSO,escola.8371@educacao.mg.gov.br,x,20/05/2022,17/05/2022,
CAIANA,MURIAÉ,SRE CARANGOLA,EE PREFEITO JAYME TOLEDO,escola.96750@educacao.mg.gov.br,x,26/05/2022,,
CAJURI,VIÇOSA,SRE PONTE NOVA,EE CAPITÃO ARNALDO DIAS ANDRADE,escola.128449@educacao.mg.gov.br,X,26/05/2022,23/05/2022,
CALDAS,GUAXUPÉ,SRE POÇOS DE CALDAS,CESEC PROFESSORA ELVIRA RODRIGUES PEREIRA,escola.124214@educacao.mg.gov.br,x,24/05/2022,19/05/2022,
CALDAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE INDÍGENA XUCURU KARIRI - WARKANÃ DE ARUANÃ,escola.322610@educacao.mg.gov.br,x,24/05/2022,19/05/2022,
CALDAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE JOSÉ FRANCO,escola.124231@educacao.mg.gov.br,x,19/05/2022,19/05/2022,
CALDAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE SOUZA NOVAIS,escola.124184@educacao.mg.gov.br,x,19/05/2022,19/05/2022,
CALDAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE VICENTE LANDI JÚNIOR,escola.124192@educacao.mg.gov.br,x,19/05/2022,19/05/2022,
CAMACHO,DIVINÓPOLIS,SRE CAMPO BELO,EE NÉLSON FERNANDES FRIAÇA,escola.202177@educacao.mg.gov.br,,23/05/2022,,
CAMANDUCAIA,POUSO ALEGRE,SRE POUSO ALEGRE,CESEC PROFESSOR CLOTARIO GUILHERME DE MACEDO,escola.54666@educacao.mg.gov.br,X,14/06/2022,,
CAMANDUCAIA,POUSO ALEGRE,SRE POUSO ALEGRE,EE VERNER GRINBERG,escola.342700@educacao.mg.gov.br,x,14/06/2022,,
CAMANDUCAIA,POUSO ALEGRE,SRE POUSO ALEGRE,EE VIRGÍNIA MARCONDES ESCOBAR,escola.54640@educacao.mg.gov.br,X,14/06/2022,,
CAMBUÍ,POUSO ALEGRE,SRE POUSO ALEGRE,EE ANTÔNIO FELIPE DE SALLES,escola.54682@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
CAMBUÍ,POUSO ALEGRE,SRE POUSO ALEGRE,EE JOÃO LOPES,escola.54755@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
CAMBUÍ,POUSO ALEGRE,SRE POUSO ALEGRE,EE PROFESSORA MARIA DA CONCEIÇÃO MORAES,escola.54763@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
CAMBUQUIRA,LAVRAS,SRE VARGINHA,EE CLÓVIS SALGADO,escola.171301@educacao.mg.gov.br,X,06/06/2022,06/06/2022,
CAMBUQUIRA,LAVRAS,SRE VARGINHA,EE MARIA UMBELINA DE ANDRADE GOMES,escola.171361@educacao.mg.gov.br,X,06/06/2022,06/06/2022,
CAMPANÁRIO,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE ANTÔNIO DUARTE SOBRINHO,escola.146471@educacao.mg.gov.br,X,13/05/2022,13/05/2022,
CAMPANHA,ALFENAS,SRE VARGINHA,EE DOM INOCÊNCIO,escola.171468@educacao.mg.gov.br,x,27/05/2022,,
CAMPANHA,ALFENAS,SRE VARGINHA,EE VITAL BRASIL,escola.171484@educacao.mg.gov.br,x,27/05/2022,,
CAMPANHA,ALFENAS,SRE VARGINHA,EE ZOROASTRO DE OLIVEIRA,escola.171492@educacao.mg.gov.br,x,27/05/2022,,
CAMPESTRE,GUAXUPÉ,SRE POÇOS DE CALDAS,EE CORONEL JOSÉ CUSTÓDIO,escola.124257@educacao.mg.gov.br,x,Escola Municipalizada,Escola Municipalizada,
CAMPESTRE,GUAXUPÉ,SRE POÇOS DE CALDAS,EE ELIAS JORGE ZENUN,escola.124290@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
CAMPESTRE,GUAXUPÉ,SRE POÇOS DE CALDAS,EE RUI BARBOSA,escola.124303@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
CAMPINA VERDE,UBERLÂNDIA,SRE UBERLÂNDIA,CESEC PROFESSORA ROMILDA DINIZ,escola.158429@educacao.mg.gov.br,,27/05/2022,26/05/2022,
CAMPINA VERDE,UBERLÂNDIA,SRE UBERLÂNDIA,EE ANA CHAVES,escola.158356@educacao.mg.gov.br,,27/05/2022,26/05/2022,
CAMPINA VERDE,UBERLÂNDIA,SRE UBERLÂNDIA,EE DOUTOR NICODEMUS DE MACEDO,escola.319147@educacao.mg.gov.br,,27/05/2022,26/05/2022,
CAMPINA VERDE,UBERLÂNDIA,SRE UBERLÂNDIA,EE NOSSA SENHORA DAS GRAÇAS,escola.158399@educacao.mg.gov.br,,27/05/2022,26/05/2022,
CAMPINA VERDE,UBERLÂNDIA,SRE UBERLÂNDIA,EE OLINDA CORREA BORGES,escola.158437@educacao.mg.gov.br,,26/05/2022,26/05/2022,
CAMPO AZUL,SÃO FRANCISCO,SRE MONTES CLAROS,EE CIRILO PEREIRA DA FONSECA,escola.79642@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,CESEC PROFESSOR JOÃO DE OLIVEIRA BARBOSA,escola.305219@educacao.mg.gov.br,X,25/05/2022,23/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,EE ABÍLIO NEVES,escola.202185@educacao.mg.gov.br,X,25/05/2022,23/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,EE JARBAS GAMBOGI,escola.202304@educacao.mg.gov.br,X,26/05/2022,23/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,EE MARIA BAUAB GIBRAM,escola.202355@educacao.mg.gov.br,X,25/05/2022,23/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,EE MIGUEL ROGANA,escola.202321@educacao.mg.gov.br,X,25/05/2022,23/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,EE PADRE ALBERTO FUGER,escola.202193@educacao.mg.gov.br,X,25/05/2022,23/05/2022,
CAMPO BELO,LAVRAS,SRE CAMPO BELO,EE PROFESSOR JOSÉ MONTEIRO,escola.202339@educacao.mg.gov.br,X,25/05/2022,23/05/2022,
CAMPO DO MEIO,ALFENAS,SRE VARGINHA,EE DR JOSÉ MESQUITA NETTO,escola.171581@educacao.mg.gov.br,x,24/05/2022,,
CAMPO DO MEIO,ALFENAS,SRE VARGINHA,EE PADRE CHICO,escola.171549@educacao.mg.gov.br,x,24/05/2022,,
CAMPO FLORIDO,UBERABA,SRE UBERABA,EE PADRE HENRIQUE PEETERS,escola.278904@educacao.mg.gov.br,X,26/05/2022,26/05/2022,
CAMPOS ALTOS,UBERABA,SRE UBERABA,EE DEIRÓ BORGES,escola.158526@educacao.mg.gov.br,X,,,
CAMPOS ALTOS,UBERABA,SRE UBERABA,EE DOUTOR JOSÉ CORDEIRO DE CAMPOS,escola.158534@educacao.mg.gov.br,X,26/05/2022,,
CAMPOS ALTOS,UBERABA,SRE UBERABA,EE PADRE CLEMENTE DE MALETO,escola.158569@educacao.mg.gov.br,X,26/05/2022,,
CAMPOS GERAIS,ALFENAS,SRE VARGINHA,EE CARLOS GOIS,escola.171590@educacao.mg.gov.br,escola municipalizou,Escola Municipalizada,Escola Municipalizada,
CAMPOS GERAIS,ALFENAS,SRE VARGINHA,EE JOSÉ AUGUSTO DE MESQUITA,escola.171671@educacao.mg.gov.br,x,,,
CAMPOS GERAIS,ALFENAS,SRE VARGINHA,EE MONSENHOR TEÓFILO SAEZ,escola.239143@educacao.mg.gov.br,escola municipalizou,Escola Municipalizada,Escola Municipalizada,
CAMPOS GERAIS,ALFENAS,SRE VARGINHA,EE PADRE ANTÔNIO VIEIRA,escola.171701@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CAMPOS GERAIS,ALFENAS,SRE VARGINHA,EE PROFESSOR EDUARDO DANIEL FERREIRA DIAS,escola.171646@educacao.mg.gov.br,x,,,
CAMPOS GERAIS,ALFENAS,SRE VARGINHA,EE PROFESSOR JOAQUIM JOSÉ DE OLIVEIRA,escola.171689@educacao.mg.gov.br,escola municipalizou,Escola Municipalizada,Escola Municipalizada,
CANA VERDE,LAVRAS,SRE CAMPO BELO,EE DOUTOR JOSÉ ESTEVES DE ANDRADE BOTELHO,escola.202401@educacao.mg.gov.br,X,19/5/2022,19/5/2022,
CANAÃ,VIÇOSA,SRE PONTE NOVA,EE ANTÔNIO LOPES SOARES,escola.128490@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
CANAÃ,VIÇOSA,SRE PONTE NOVA,EE MARIA APARECIDA DAVID,escola.233200@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
CANÁPOLIS,UBERLÂNDIA,SRE ITUIUTABA,EE JOSÉ EZEQUIEL DE QUEIRÓS,escola.312045@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CANÁPOLIS,UBERLÂNDIA,SRE ITUIUTABA,EE SÃO FRANCISCO DE ASSIS,escola.196380@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CANDEIAS,LAVRAS,SRE CAMPO BELO,EE PADRE AMÉRICO,escola.202487@educacao.mg.gov.br,x,26/05/2022,,
CANDEIAS,LAVRAS,SRE CAMPO BELO,EE PRESIDENTE KENNEDY,escola.202495@educacao.mg.gov.br,x,26/05/2022,25/05/2022,
CANTAGALO,GUANHÃES,SRE GUANHÃES,EE PROFESSORA ESTER SIQUEIRA,escola.44776@educacao.mg.gov.br,X,,,
CAPARAÓ,MANHUAÇU,SRE CARANGOLA,EE PROFESSOR FRANCISCO LENTZ,escola.96784@educacao.mg.gov.br,X,25/5/2022,25/5/2022,
CAPELA NOVA,SÃO JOÃO DEL REI,SRE BARBACENA,EE CHIQUINHO DE PAIVA,escola.15377@educacao.mg.gov.br,x,18/05/2022,17/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,CESEC DE CAPELINHA,escola.351032@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE BENTO ROCHA DE JESUS,escola.319376@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE CORONEL COELHO,escola.23272@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE DOMINGOS PIMENTA DE FIGUEIREDO,escola.205893@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE DOUTOR JUSCELINO BARBOSA,escola.23281@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE PROFESSOR ANTÔNIO LAGO,escola.23299@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE PROFESSORA GERALDA OTONI BARBOSA,escola.23302@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE PROFESSORA HERMÍNIA EPONINA DA SILVA,escola.23329@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE PROFESSORA MARIA EDMÉIA PIMENTA DE MEIRA,escola.23311@educacao.mg.gov.br,x,23/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE ROSARINHA PIMENTINHA,escola.217646@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPELINHA,CAPELINHA,SRE DIAMANTINA,EE SEBASTIÃO PEÇANHA DE OLIVEIRA,escola.342718@educacao.mg.gov.br,x,24/05/2022,23/05/2022,
CAPETINGA,PASSOS,SRE SÃO SEBASTIÃO DO PARAÍSO,EE DOUTOR JOSÉ TEODORO DE SOUZA,escola.136891@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
CAPIM BRANCO,SETE LAGOAS,SRE SETE LAGOAS,EE FRANCISCO SALES,escola.140481@educacao.mg.gov.br,x,30/06/2022,,
CAPIM BRANCO,SETE LAGOAS,SRE SETE LAGOAS,EE MESTRE CORNÉLIO,escola.310611@educacao.mg.gov.br,x,30/06/2022,,
CAPINÓPOLIS,UBERLÂNDIA,SRE ITUIUTABA,EE GOVERNADOR JUSCELINO,escola.196401@educacao.mg.gov.br,x,24/05/2022,,
CAPINÓPOLIS,UBERLÂNDIA,SRE ITUIUTABA,EE SÉRGIO DE FREITAS PACHECO,escola.196398@educacao.mg.gov.br,x,24/05,,
CAPITÃO ANDRADE,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE LEVINDO DIAS,escola.43885@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
CAPITÃO ENÉAS,MONTES CLAROS,SRE MONTES CLAROS,EE ADOLFO FERREIRA DE BARROS,escola.79804@educacao.mg.gov.br,x,26/05/2022,19/05/2022,
CAPITÃO ENÉAS,MONTES CLAROS,SRE MONTES CLAROS,EE JOSÉ PATRÍCIO DA SILVEIRA,escola.79812@educacao.mg.gov.br,x,24/05/2022,19/05/2022,
CAPITÃO ENÉAS,MONTES CLAROS,SRE MONTES CLAROS,EE NORTE MINEIRA,escola.79791@educacao.mg.gov.br,x,20/05/2022,19/05/2022,
CAPITÃO ENÉAS,MONTES CLAROS,SRE MONTES CLAROS,EE NOSSA SENHORA DA GUIA,escola.79782@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CAPITÓLIO,PASSOS,SRE PASSOS,EE CORONEL LOURENÇO BELO,escola.317462@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
CAPITÓLIO,PASSOS,SRE PASSOS,EE MODESTO ANTÔNIO DE OLIVEIRA,escola.114961@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
CAPUTIRA,MANHUAÇU,SRE MANHUAÇU,EE PADRE ALFREDO KOBAL,escola.74918@educacao.mg.gov.br,X,26/05/2022,25/05/2022,
CARAÍ,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE DE CARAÍ,escola.146510@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARAÍ,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE DE ENSINO MÉDIO,escola.372072@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARAÍ,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE DOM JOSÉ DE HAAS,escola.146536@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARAÍ,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE ORLANDO TAVARES,escola.146544@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARAÍ,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE PROFESSOR ABGAR RENAULT,escola.146528@educacao.mg.gov.br,X,27/05/2022,27/05/2022,
CARANAÍBA,SÃO JOÃO DEL REI,SRE CONSELHEIRO LAFAIETE,EE CORONEL CELSO RESENDE,escola.15415@educacao.mg.gov.br,X,26/05/2022,26/05/2022,
CARANDAÍ,SÃO JOÃO DEL REI,SRE BARBACENA,EE DEPUTADO PATRUS DE SOUSA,escola.15491@educacao.mg.gov.br,X,23/05/2022,,
CARANDAÍ,SÃO JOÃO DEL REI,SRE BARBACENA,EE FRANCISCO DO CARMO,escola.15521@educacao.mg.gov.br,X,26/05/2022,,
CARANDAÍ,SÃO JOÃO DEL REI,SRE BARBACENA,EE PREFEITO GENTIL PEREIRA LIMA,escola.15571@educacao.mg.gov.br,X,23/05/2022,,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE BENEDITO VALADARES,escola.96920@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE DE EDUCAÇÃO ESPECIAL WALTON BATALHA LIMA,escola.96806@educacao.mg.gov.br,x,,,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE DO BAIRRO SANTO ONOFRE,escola.96881@educacao.mg.gov.br,x,,,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE DOUTOR JONAS DE FARIA CASTRO,escola.96890@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE EMÍLIA ESTEVES MARQUES,escola.97012@educacao.mg.gov.br,x,,,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE JOÃO BELO DE OLIVEIRA,escola.96938@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE MELO VIANA,escola.96971@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE NASCIMENTO LEAL,escola.97039@educacao.mg.gov.br,x,,,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE PEDRO DE OLIVEIRA,escola.97241@educacao.mg.gov.br,x,,,
CARANGOLA,MURIAÉ,SRE CARANGOLA,EE PROFESSOR AUGUSTO AMARANTE,escola.96997@educacao.mg.gov.br,x,,,
CARATINGA,IPATINGA,SRE CARATINGA,CESEC PROFESSOR CELSO SIMÕES CALDEIRA,escola.19275@educacao.mg.gov.br,,06/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE ANTÔNIO PENNA SOBRINHO,escola.19828@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE CORONEL FLORENTINO MIRANDA COSTA,escola.20028@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE DEPUTADO AGENOR LUDGERO ALVES,escola.19283@educacao.mg.gov.br,,07/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE DOM CARLOTO,escola.19305@educacao.mg.gov.br,,municipalizada,,
CARATINGA,IPATINGA,SRE CARATINGA,EE ENGENHEIRO CALDAS,escola.19321@educacao.mg.gov.br,,06/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE FELICIANO MIGUEL ABDALLA,escola.353450@educacao.mg.gov.br,,08/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE ISABEL VIEIRA,escola.19364@educacao.mg.gov.br,,07/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE JOÃO MOREIRA FRANCO,escola.19941@educacao.mg.gov.br,,20/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE JOSÉ AUGUSTO FERREIRA,escola.19372@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE JOSÉ FERREIRA MENDES,escola.19526@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE JUAREZ CANUTO DE SOUZA,escola.19381@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MANOEL CORDEIRO LÚCIO,escola.20176@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MARIA ALVES DA SILVEIRA,escola.19763@educacao.mg.gov.br,,06/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MARIA JÚLIA DE MATTOS,escola.19151@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MARY LUCCA CHAGAS,escola.20010@educacao.mg.gov.br,,20/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MAURÍLIO SENRA,escola.19453@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MENINO JESUS DE PRAGA,escola.19411@educacao.mg.gov.br,,municipalizada,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE MOACYR DE MATTOS,escola.253855@educacao.mg.gov.br,X,19/05/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE PRINCESA ISABEL,escola.19178@educacao.mg.gov.br,,,,
CARATINGA,IPATINGA,SRE CARATINGA,EE PROFESSOR JOAQUIM NUNES,escola.218766@educacao.mg.gov.br,,,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE PROFESSORA MARIA FONTES,escola.19780@educacao.mg.gov.br,,,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE SINFRÔNIO FERNANDES,escola.19216@educacao.mg.gov.br,,09/06/2022,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE SUDÁRIO ALVES PEREIRA,escola.20001@educacao.mg.gov.br,,,19/05/2022,
CARATINGA,IPATINGA,SRE CARATINGA,EE VENCESLAU JOSÉ DA SILVA,escola.19291@educacao.mg.gov.br,,19/05/2022,19/05/2022,
CARBONITA,DIAMANTINA,SRE DIAMANTINA,EE CORONEL COIMBRA,escola.23353@educacao.mg.gov.br,,10/06/2022,20/05/2022,
CARBONITA,DIAMANTINA,SRE DIAMANTINA,EE MESTRA AURORA,escola.23361@educacao.mg.gov.br,,,20/05/2022,
CAREAÇU,POUSO ALEGRE,SRE POUSO ALEGRE,EE VEREADOR JOAQUIM BORGES DA COSTA,escola.54780@educacao.mg.gov.br,X,26/05/2022,26/05/2022,
CARLOS CHAGAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE DOUTOR JOÃO BERALDO,escola.146579@educacao.mg.gov.br,X,20/05/2022,17/05/2022,
CARLOS CHAGAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE EPAMINONDAS OTONI,escola.146625@educacao.mg.gov.br,X,18/05/2022,17/05/2022,
CARLOS CHAGAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE GERALDO DE SOUZA NORTE,escola.146561@educacao.mg.gov.br,X,20/05/2022,17/05/2022,
CARLOS CHAGAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE OLGA PRATES,escola.146633@educacao.mg.gov.br,X,19/05/2022,17/05/2022,
CARLOS CHAGAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE PROFESSORA ANTÔNIA BERNARDO RODRIGUES,escola.346179@educacao.mg.gov.br,X,19/05/2022,17/05/2022,
CARMÉSIA,GUANHÃES,SRE GUANHÃES,EE INDÍGENA ÃGOHÓ KUÂP PATAXÓ,escola.369802@educacao.mg.gov.br,x,26/05/2022,,
